AttackType,Year,Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2000,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2001,2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2002,2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2003,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2004,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2005,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2006,2753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2007,3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2008,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2009,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2010,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2011,2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2012,5220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2013,7338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2014,15817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Assault,2015,11717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2000,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2001,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2002,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2003,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2004,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2005,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2006,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2007,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2008,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2009,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2010,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2011,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2012,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2013,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2014,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination,2015,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2000,1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2001,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2002,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2003,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2004,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2005,3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2006,5898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2007,8704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2008,5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2009,5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2010,4392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2011,4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2012,8184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2013,12279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2014,15600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombing/Explosion,2015,17059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2000,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2001,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2003,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2004,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2005,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2006,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility/Infrastructure Attack,2007,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
