Continent,Year,Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2000,1519,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2001,1781,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2002,1644,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2003,704,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2004,498,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2005,668,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2006,1153,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2007,1579,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2008,1405,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2009,1112,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2010,821,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2011,1261,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2012,2819,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2013,4306,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2014,14102,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2015,12034,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2000,1922,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2001,1862,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2002,2043,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2003,1824,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2004,4260,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2005,5210,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2006,8006,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2007,10866,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2008,7146,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2009,6960,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2010,6569,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2011,6617,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2012,11965,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2013,17393,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2014,28263,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,2015,25117,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2000,438,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2001,299,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2002,525,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2003,340,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2004,803,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2005,226,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2006,68,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2007,73,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2008,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2009,165,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2010,243,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2011,258,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2012,186,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2013,159,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2014,1471,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2015,957,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2000,14,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2001,3023,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2002,4,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2003,7,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2004,38,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2005,3,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2006,15,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2007,27,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2008,23,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2009,23,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2010,4,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2011,2,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2012,26,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2013,79,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2014,39,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2015,63,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2000,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2001,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2004,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2007,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,
