WeaponType,Country,TotalAttacks,,,,,,,,,,,,,,,,,,,
Biological,Afghanistan,0,,,,,,,,,,,,,,,,,,,
Biological,Colombia,0,,,,,,,,,,,,,,,,,,,
Biological,India,0,,,,,,,,,,,,,,,,,,,
Biological,Iraq,0,,,,,,,,,,,,,,,,,,,
Biological,Nigeria,0,,,,,,,,,,,,,,,,,,,
Biological,Pakistan,16,,,,,,,,,,,,,,,,,,,
Biological,Philippines,0,,,,,,,,,,,,,,,,,,,
Biological,Somalia,0,,,,,,,,,,,,,,,,,,,
Biological,Thailand,0,,,,,,,,,,,,,,,,,,,
Biological,Yemen,0,,,,,,,,,,,,,,,,,,,
Chemical,Afghanistan,374,,,,,,,,,,,,,,,,,,,
Chemical,Colombia,32,,,,,,,,,,,,,,,,,,,
Chemical,India,51,,,,,,,,,,,,,,,,,,,
Chemical,Iraq,50,,,,,,,,,,,,,,,,,,,
Chemical,Nigeria,19,,,,,,,,,,,,,,,,,,,
Chemical,Pakistan,43,,,,,,,,,,,,,,,,,,,
Chemical,Philippines,0,,,,,,,,,,,,,,,,,,,
Chemical,Somalia,0,,,,,,,,,,,,,,,,,,,
Chemical,Thailand,3,,,,,,,,,,,,,,,,,,,
Chemical,Yemen,0,,,,,,,,,,,,,,,,,,,
Explosives,Afghanistan,15563,,,,,,,,,,,,,,,,,,,
Explosives,Colombia,3140,,,,,,,,,,,,,,,,,,,
Explosives,India,9450,,,,,,,,,,,,,,,,,,,
Explosives,Iraq,41488,,,,,,,,,,,,,,,,,,,
Explosives,Nigeria,2742,,,,,,,,,,,,,,,,,,,
Explosives,Pakistan,19836,,,,,,,,,,,,,,,,,,,
Explosives,Philippines,3886,,,,,,,,,,,,,,,,,,,
Explosives,Somalia,3514,,,,,,,,,,,,,,,,,,,
Explosives,Thailand,4322,,,,,,,,,,,,,,,,,,,
Explosives,Yemen,3168,,,,,,,,,,,,,,,,,,,
Firearms,Afghanistan,7145,,,,,,,,,,,,,,,,,,,
Firearms,Colombia,1377,,,,,,,,,,,,,,,,,,,
Firearms,India,6541,,,,,,,,,,,,,,,,,,,
Firearms,Iraq,8619,,,,,,,,,,,,,,,,,,,
Firearms,Nigeria,3989,,,,,,,,,,,,,,,,,,,
Firearms,Pakistan,8510,,,,,,,,,,,,,,,,,,,
Firearms,Philippines,4501,,,,,,,,,,,,,,,,,,,
Firearms,Somalia,2096,,,,,,,,,,,,,,,,,,,
Firearms,Thailand,2624,,,,,,,,,,,,,,,,,,,
Firearms,Yemen,2370,,,,,,,,,,,,,,,,,,,
Incendiary,Afghanistan,1593,,,,,,,,,,,,,,,,,,,
Incendiary,Colombia,741,,,,,,,,,,,,,,,,,,,
Incendiary,India,3337,,,,,,,,,,,,,,,,,,,
Incendiary,Iraq,302,,,,,,,,,,,,,,,,,,,
Incendiary,Nigeria,1136,,,,,,,,,,,,,,,,,,,
Incendiary,Pakistan,1108,,,,,,,,,,,,,,,,,,,
Incendiary,Philippines,1552,,,,,,,,,,,,,,,,,,,
Incendiary,Somalia,130,,,,,,,,,,,,,,,,,,,
Incendiary,Thailand,1750,,,,,,,,,,,,,,,,,,,
Incendiary,Yemen,55,,,,,,,,,,,,,,,,,,,
Melee,Afghanistan,478,,,,,,,,,,,,,,,,,,,
Melee,Colombia,47,,,,,,,,,,,,,,,,,,,
Melee,India,1252,,,,,,,,,,,,,,,,,,,
Melee,Iraq,193,,,,,,,,,,,,,,,,,,,
Melee,Nigeria,139,,,,,,,,,,,,,,,,,,,
Melee,Pakistan,349,,,,,,,,,,,,,,,,,,,
Melee,Philippines,92,,,,,,,,,,,,,,,,,,,
Melee,Somalia,234,,,,,,,,,,,,,,,,,,,
Melee,Thailand,68,,,,,,,,,,,,,,,,,,,
Melee,Yemen,69,,,,,,,,,,,,,,,,,,,
Radiological,Afghanistan,3,,,,,,,,,,,,,,,,,,,
Radiological,Colombia,0,,,,,,,,,,,,,,,,,,,
Radiological,India,0,,,,,,,,,,,,,,,,,,,
Radiological,Iraq,0,,,,,,,,,,,,,,,,,,,
Radiological,Nigeria,0,,,,,,,,,,,,,,,,,,,
Radiological,Pakistan,0,,,,,,,,,,,,,,,,,,,
Radiological,Philippines,0,,,,,,,,,,,,,,,,,,,
Radiological,Somalia,0,,,,,,,,,,,,,,,,,,,
Radiological,Thailand,0,,,,,,,,,,,,,,,,,,,
Radiological,Yemen,0,,,,,,,,,,,,,,,,,,,
Sabotage Equipment,Afghanistan,7,,,,,,,,,,,,,,,,,,,
