Country,Lat,Long,TotalDeaths,,,,,,,,
Afghanistan,34.0,65.5,26721,,,,,,,,
Albania,40.7,20.1,1,,,,,,,,
Algeria,28.6,2.6,3632,,,,,,,,
Angola,-12.8,17.8,1089,,,,,,,,
Argentina,-33.2,-64.3,0,,,,,,,,
Armenia,40.6,44.4,2,,,,,,,,
Australia,-24.6,133.6,6,,,,,,,,
Austria,47.7,14.7,1,,,,,,,,
Azerbaijan,40.5,47.9,7,,,,,,,,
Bahamas,24.7,-78.0,0,,,,,,,,
Bahrain,26.0,50.6,22,,,,,,,,
Bangladesh,24.6,90.2,398,,,,,,,,
Belarus,53.3,27.9,13,,,,,,,,
Belgium,50.7,4.5,5,,,,,,,,
Belize,17.1,-88.7,0,,,,,,,,
Benin,10.5,2.3,0,,,,,,,,
Bhutan,27.5,90.3,9,,,,,,,,
Bolivia,-16.7,-65.2,0,,,,,,,,
Bosnia and Herzegovina,44.3,17.8,9,,,,,,,,
Brazil,-11.7,-49.0,10,,,,,,,,
Bulgaria,42.6,24.5,13,,,,,,,,
Burkina Faso,12.7,-1.2,17,,,,,,,,
Burundi,-3.3,29.7,828,,,,,,,,
Cambodia,12.7,104.4,22,,,,,,,,
Cameroon,4.4,12.1,1770,,,,,,,,
Canada,59.2,-111.2,7,,,,,,,,
Central African Republic,7.0,21.4,1189,,,,,,,,
Chad,16.0,18.8,744,,,,,,,,
Chile,-23.2,-69.2,3,,,,,,,,
China,35.2,99.4,809,,,,,,,,
Colombia,3.8,-73.6,2759,,,,,,,,
Costa Rica,10.1,-84.1,1,,,,,,,,
Croatia,45.8,16.4,3,,,,,,,,
Cuba,20.6,-76.5,1,,,,,,,,
Cyprus,34.9,32.9,0,,,,,,,,
Czechia,49.8,15.3,2,,,,,,,,
Dem. Rep. Congo,-1.4,23.6,2889,,,,,,,,
Denmark,56.1,9.1,2,,,,,,,,
Djibouti,11.4,42.2,5,,,,,,,,
Dominican Republic,19.0,-70.2,0,,,,,,,,
Ecuador,-1.2,-78.3,1,,,,,,,,
Egypt,26.2,28.7,1636,,,,,,,,
Equatorial Guinea,1.6,10.5,1,,,,,,,,
Eritrea,16.0,38.0,40,,,,,,,,
Estonia,58.8,26.0,2,,,,,,,,
Ethiopia,8.4,38.8,381,,,,,,,,
