Country,Population,Continent,CountofAttacks,TotalDeaths,,,
Afghanistan,38928341,Asia,9576,26721,,,
Albania,2877800,Europe,12,1,,,
Algeria,43851043,Africa,1327,3632,,,
Angola,32866268,Africa,71,1089,,,
Argentina,45195777,South America,19,0,,,
Armenia,2963234,Europe,9,2,,,
Australia,25499881,Oceania,33,6,,,
Austria,9006400,Europe,14,1,,,
Azerbaijan,10139175,Europe,14,7,,,
Bahamas,393248,North America,1,0,,,
Bahrain,1701583,Asia,144,22,,,
Bangladesh,164689383,Asia,950,398,,,
Belarus,9449321,Europe,9,13,,,
Belgium,11589616,Europe,16,5,,,
Belize,397621,North America,2,0,,,
Benin,12123198,Africa,1,0,,,
Bhutan,771612,Asia,6,9,,,
Bolivia,11673029,South America,9,0,,,
Bosnia and Herzegovina,3280815,Europe,33,9,,,
Brazil,212559409,South America,22,10,,,
Burma,54409800,Asia,165,240,,,
Bulgaria,6948445,Europe,16,13,,,
Burkina Faso,20903278,Africa,7,17,,,
Burundi,11890781,Africa,261,828,,,
Cambodia,16718971,Asia,19,22,,,
Cameroon,26545864,Africa,163,1770,,,
Canada,37742157,North America,35,7,,,
Central African Republic,4829764,Africa,193,1189,,,
Chad,16425859,Africa,62,744,,,
Chile,19116209,South America,65,3,,,
China,1439323774,Asia,126,809,,,
Colombia,50882884,South America,1878,2759,,,
Congo,5518092,Africa,461,2889,,,
Costa Rica,5094114,North America,1,1,,,
Croatia,4105268,Europe,11,3,,,
Cuba,11326616,North America,1,1,,,
Cyprus,875899,Europe,23,0,,,
Czechia,10708982,Europe,16,2,,,
Denmark,5792203,Europe,7,2,,,
Djibouti,988002,Africa,3,5,,,
Dominican Republic,10847904,North America,2,0,,,
Ecuador,17643060,South America,25,1,,,
Egypt,102334403,Africa,1404,1636,,,
Equatorial Guinea,1402985,Africa,1,1,,,
Eritrea,3546427,Africa,7,40,,,
Estonia,1326539,Europe,4,2,,,
Ethiopia,114963583,Africa,60,381,,,
Fiji,896444,Oceania,5,7,,,
Finland,5540718,Europe,11,9,,,
France,65273512,Europe,377,179,,,
