year,country_txt,city,latitude,longitude,attacktype1_txt
2000,Iraq,Kalar District,34.633333,45.3,Bombing/Explosion
2000,Iraq,Arbil,36.192589,44.004623,Bombing/Explosion
2000,Iraq,Amadiyah,37.0925,43.487222,Armed Assault
2000,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2000,Iraq,Arbil,36.192589,44.004623,Bombing/Explosion
2000,Iraq,Gisew,36.868611,43.784444,Bombing/Explosion
2000,Iraq,Gisew,36.868611,43.784444,Bombing/Explosion
2000,Iraq,Arbil,36.192589,44.004623,Bombing/Explosion
2001,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2001,Iraq,Duhok,36.860813,42.97646,Bombing/Explosion
2001,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2002,Iraq,Sulaymaniyah,35.567009,45.385494,Assassination
2002,Iraq,Khurmal,35.302275,46.035178,Bombing/Explosion
2002,Iraq,Halabjah,35.183333,45.983333,Armed Assault
2002,Iraq,Halabjah,35.183333,45.983333,Bombing/Explosion
2002,Iraq,Halabjah,35.183333,45.983333,Bombing/Explosion
2003,Iraq,Halabjah,35.183333,45.983333,Bombing/Explosion
2003,Iraq,Khurmal,35.302275,46.035178,Bombing/Explosion
2003,Iraq,Najaf,32.000596,44.330818,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Armed Assault
2003,Iraq,Fallujah,33.349159,43.784199,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Armed Assault
2003,Iraq,Baghdad,33.303566,44.371773,Armed Assault
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Hadithah,34.160587,42.37254,Bombing/Explosion
2003,Iraq,Baqubah,33.74324,44.623825,Bombing/Explosion
2003,Iraq,Fallujah,33.349159,43.784199,Bombing/Explosion
2003,Iraq,Ramadi,33.420948,43.295662,Bombing/Explosion
2003,Iraq,Abu Ghraib,33.31065,44.038208,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Hadithah,34.160587,42.37254,Assassination
2003,Iraq,Sadiyah,34.125729,45.003342,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Najaf,32.000596,44.330818,Bombing/Explosion
2003,Iraq,Baqubah,33.74324,44.623825,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Arbil,36.192589,44.004623,Bombing/Explosion
2003,Iraq,Fallujah,33.349159,43.784199,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Tikrit,34.621521,43.668377,Armed Assault
2003,Iraq,Baghdad,33.303566,44.371773,Assassination
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Mosul,36.354145,43.14357,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baqubah,33.74324,44.623825,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Fallujah,33.349159,43.784199,Bombing/Explosion
2003,Iraq,Habbaniyah,33.382431,43.587631,Bombing/Explosion
2003,Iraq,Kirkuk,35.45211,44.375465,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Kirkuk,35.45211,44.375465,Bombing/Explosion
2003,Iraq,Kirkuk,35.45211,44.375465,Assassination
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Assassination
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
2003,Iraq,Fallujah,33.349159,43.784199,Unknown
2003,Iraq,Unknown,33.773349,45.14945,Bombing/Explosion
2003,Iraq,Mosul,36.354145,43.14357,Bombing/Explosion
2003,Iraq,Kirkuk,35.45211,44.375465,Bombing/Explosion
2003,Iraq,Mosul,36.354145,43.14357,Assassination
2003,Iraq,Basra,30.510054,47.778095,Bombing/Explosion
2003,Iraq,Nasiriyah,31.044371,46.261452,Bombing/Explosion
2003,Iraq,Kirkuk,35.45211,44.375465,Bombing/Explosion
2003,Iraq,Arbil,36.192589,44.004623,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Armed Assault
2003,Iraq,Ramadi,33.420948,43.295662,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Armed Assault
2003,Iraq,Kirkuk,35.45211,44.375465,Bombing/Explosion
2003,Iraq,Baghdad,33.303566,44.371773,Bombing/Explosion
